catchId,tripId,speciesCode,count,keptCount,releasedCount,avgLengthCm,catchLat,catchLon,catchTime
c-0026-01,t-0026,COBIA,3,2,1,31.0,26.63773,-95.83194,05:15:00
c-0027-00,t-0027,TARPON,12,1,11,64.8,27.70595,-96.74783,10:00:00
c-0027-01,t-0027,SNOOK,10,0,10,98.3,27.03961,-97.3569,15:30:00
c-0027-02,t-0027,TARPON,1,1,0,62.6,27.0535,-95.87195,06:45:00
c-0028-00,t-0028,TARPON,6,6,0,59.9,27.03858,-97.34301,16:00:00
c-0028-01,t-0028,COBIA,5,2,3,88.7,26.71886,-97.17495,12:00:00
c-0028-02,t-0028,SNOOK,7,1,6,93.9,26.20982,-97.62927,07:00:00
c-0028-03,t-0028,RED_SNAPPER,6,5,1,61.1,27.34887,-96.67683,15:45:00
c-0028-04,t-0028,SHARK,5,4,1,55.2,27.99661,-96.35788,14:15:00
c-0029-00,t-0029,SNOOK,10,9,1,84.3,27.94386,-95.85091,05:30:00
c-0029-01,t-0029,SHARK,5,2,3,20.6,26.06659,-97.25346,07:45:00
c-0029-02,t-0029,SNOOK,1,0,1,73.0,26.16005,-96.31806,11:45:00
c-0029-03,t-0029,SHARK,5,5,0,97.7,27.04339,-97.48518,14:00:00
c-0029-04,t-0029,SNOOK,10,0,10,28.2,28.03169,-97.48884,12:45:00
c-0030-00,t-0030,RED_SNAPPER,9,4,5,42.1,27.5599,-96.61373,14:00:00
c-0030-01,t-0030,SHARK,4,1,3,48.9,26.01768,-97.19716,06:00:00
c-0030-02,t-0030,FLOUNDER,3,3,0,90.4,27.14399,-96.93869,13:30:00
c-0030-03,t-0030,RED_SNAPPER,1,1,0,66.0,26.16577,-96.07647,06:30:00
c-0031-00,t-0031,TARPON,2,0,2,78.9,28.11547,-97.62374,13:00:00
c-0031-01,t-0031,SHARK,6,1,5,97.9,26.91026,-97.17945,06:00:00
c-0031-02,t-0031,SNOOK,6,2,4,115.8,27.22039,-97.41219,15:15:00
c-0031-03,t-0031,FLOUNDER,4,1,3,35.3,26.54342,-97.50711,15:00:00
c-0031-04,t-0031,FLOUNDER,8,7,1,96.0,26.40744,-96.2543,12:30:00
c-0031-05,t-0031,RED_SNAPPER,3,3,0,66.9,27.98777,-96.54557,15:30:00
c-0031-06,t-0031,RED_SNAPPER,6,4,2,51.0,27.83156,-96.61716,12:00:00
c-0032-00,t-0032,TARPON,12,0,12,110.9,27.33476,-95.89154,14:15:00
c-0032-01,t-0032,TARPON,3,0,3,30.4,26.73951,-96.84874,10:00:00
c-0032-02,t-0032,TARPON,4,3,1,72.4,27.16046,-97.45488,14:15:00
c-0032-03,t-0032,SHARK,7,6,1,87.9,26.83697,-95.96413,05:30:00
c-0032-04,t-0032,SHARK,11,6,5,45.2,26.1516,-97.61099,15:15:00
c-0033-00,t-0033,SNOOK,9,6,3,99.2,27.63032,-97.63056,07:00:00
c-0033-01,t-0033,SHARK,6,0,6,50.9,27.48586,-96.95319,08:30:00
c-0033-02,t-0033,COBIA,4,1,3,27.7,28.17964,-96.82746,06:00:00
c-0033-03,t-0033,FLOUNDER,10,2,8,57.7,27.52244,-96.04721,07:15:00
c-0033-04,t-0033,RED_SNAPPER,3,3,0,61.1,27.91209,-96.2578,15:15:00
c-0033-05,t-0033,TARPON,12,12,0,43.4,28.23005,-96.57881,08:30:00
c-0034-00,t-0034,RED_SNAPPER,3,2,1,84.1,27.87885,-96.19748,10:00:00
c-0034-01,t-0034,RED_SNAPPER,2,1,1,96.3,27.63622,-96.76818,09:45:00
c-0034-02,t-0034,COBIA,7,1,6,101.7,28.0822,-97.5053,10:00:00
c-0035-00,t-0035,SHARK,12,10,2,99.1,26.73298,-97.60183,07:00:00
c-0035-01,t-0035,SNOOK,12,2,10,66.9,26.65982,-96.14048,14:00:00
c-0036-00,t-0036,COBIA,2,0,2,62.0,27.7852,-97.32472,14:45:00
c-0036-01,t-0036,RED_SNAPPER,8,8,0,83.2,26.14446,-96.12662,14:15:00
c-0037-00,t-0037,COBIA,2,1,1,93.3,27.71883,-97.08581,15:00:00
c-0037-01,t-0037,RED_SNAPPER,6,1,5,55.2,27.77445,-96.32963,10:15:00
c-0037-02,t-0037,SNOOK,12,7,5,38.2,27.90988,-96.43063,07:00:00
c-0037-03,t-0037,COBIA,1,1,0,24.4,27.6469,-95.91279,08:00:00
c-0038-00,t-0038,SHARK,11,5,6,32.4,26.82104,-96.23832,10:45:00
c-0038-01,t-0038,COBIA,7,5,2,69.6,28.04582,-96.31338,12:30:00
c-0038-02,t-0038,TARPON,2,2,0,27.9,28.12591,-96.76145,14:15:00
c-0038-03,t-0038,SNOOK,2,1,1,49.6,27.25459,-97.15758,12:45:00
c-0039-00,t-0039,SNOOK,2,2,0,60.6,28.25406,-95.90419,13:15:00
c-0039-01,t-0039,TARPON,10,10,0,23.5,28.19142,-97.51444,06:15:00
c-0039-02,t-0039,FLOUNDER,7,0,7,35.3,27.79059,-97.06734,12:30:00
c-0039-03,t-0039,FLOUNDER,10,2,8,56.7,26.85563,-96.27383,10:30:00
c-0039-04,t-0039,TARPON,12,2,10,71.8,26.57411,-97.5731,13:00:00
c-0039-05,t-0039,FLOUNDER,8,3,5,48.6,26.60209,-97.27942,12:15:00
c-0039-06,t-0039,SNOOK,8,2,6,64.5,26.28207,-96.09435,06:30:00
c-0040-00,t-0040,SHARK,8,0,8,75.4,27.82175,-97.32653,10:45:00
c-0040-01,t-0040,RED_SNAPPER,10,1,9,50.9,27.84842,-96.69671,16:45:00
c-0040-02,t-0040,COBIA,10,1,9,117.2,27.2091,-96.26167,15:00:00
c-0041-00,t-0041,COBIA,2,2,0,50.4,27.15659,-96.06358,07:30:00
c-0041-01,t-0041,RED_SNAPPER,9,4,5,45.1,28.1499,-97.34906,15:30:00
c-0041-02,t-0041,FLOUNDER,9,1,8,84.1,26.28789,-97.19435,14:15:00
c-0041-03,t-0041,FLOUNDER,10,5,5,24.1,26.39376,-96.55104,05:00:00
c-0041-04,t-0041,SNOOK,10,4,6,41.1,26.10456,-96.51709,14:45:00
c-0042-00,t-0042,TARPON,3,3,0,68.4,27.04315,-96.42277,08:30:00
c-0042-01,t-0042,SNOOK,12,5,7,118.8,27.39532,-97.17484,10:45:00
c-0042-02,t-0042,SHARK,9,1,8,44.2,26.30076,-97.05892,06:30:00
c-0042-03,t-0042,TARPON,1,1,0,106.4,27.03407,-97.51824,11:15:00
c-0043-00,t-0043,COBIA,8,3,5,78.3,26.20711,-97.01352,05:00:00
c-0043-01,t-0043,TARPON,11,10,1,48.6,26.64712,-96.60496,05:00:00
c-0044-00,t-0044,RED_SNAPPER,9,4,5,58.6,27.31165,-97.41069,12:30:00
c-0044-01,t-0044,COBIA,10,1,9,117.5,27.89822,-96.55352,11:30:00
c-0045-00,t-0045,TARPON,12,5,7,71.9,26.09259,-97.72217,07:15:00
c-0045-01,t-0045,FLOUNDER,3,3,0,93.9,26.75432,-96.57386,09:30:00
c-0045-02,t-0045,TARPON,8,4,4,101.6,27.16682,-96.78057,10:30:00
c-0045-03,t-0045,SNOOK,10,4,6,107.2,27.54975,-95.8402,15:00:00
c-0045-04,t-0045,FLOUNDER,11,9,2,42.8,27.37289,-97.26894,05:45:00
c-0045-05,t-0045,COBIA,10,6,4,102.2,26.39218,-96.54195,08:00:00
c-0046-00,t-0046,SHARK,9,6,3,115.7,26.74761,-96.47555,12:30:00
c-0046-01,t-0046,SNOOK,12,10,2,100.4,27.25643,-96.44826,09:45:00
c-0046-02,t-0046,COBIA,9,4,5,114.1,26.44221,-97.30696,09:30:00
c-0046-03,t-0046,TARPON,8,5,3,54.9,27.62127,-96.41952,16:30:00
c-0046-04,t-0046,TARPON,9,6,3,101.8,26.66192,-96.65305,07:30:00
c-0046-05,t-0046,TARPON,2,1,1,85.6,26.09675,-95.88937,16:45:00
c-0047-00,t-0047,RED_SNAPPER,4,1,3,30.0,26.11676,-95.98963,10:45:00
c-0047-01,t-0047,TARPON,1,0,1,85.3,26.23125,-96.25847,12:45:00
c-0047-02,t-0047,SHARK,5,2,3,84.6,27.49624,-96.28818,06:15:00
c-0048-00,t-0048,RED_SNAPPER,5,0,5,49.8,26.42852,-96.30199,14:00:00
c-0048-01,t-0048,FLOUNDER,8,8,0,69.4,28.13545,-97.12992,07:45:00
c-0048-02,t-0048,SNOOK,6,1,5,65.9,26.62753,-96.18237,09:15:00
c-0048-03,t-0048,SNOOK,5,4,1,95.7,26.03239,-97.12578,07:45:00
c-0048-04,t-0048,SNOOK,2,1,1,29.5,27.90208,-96.76944,07:45:00
c-0049-00,t-0049,TARPON,11,1,10,50.7,26.82697,-97.32739,11:30:00
c-0049-01,t-0049,FLOUNDER,5,2,3,42.1,27.58767,-96.52258,07:45:00
c-0049-02,t-0049,TARPON,10,5,5,90.2,26.35233,-96.30453,12:15:00
c-0049-03,t-0049,FLOUNDER,10,1,9,64.7,27.75228,-96.43932,16:30:00
c-0049-04,t-0049,FLOUNDER,1,0,1,73.7,26.17964,-96.67166,07:30:00
c-0049-05,t-0049,SNOOK,11,3,8,78.3,27.96532,-96.91632,06:45:00
c-0049-06,t-0049,TARPON,9,6,3,76.4,27.85999,-96.89314,13:45:00
c-0050-00,t-0050,RED_SNAPPER,9,0,9,118.6,26.9745,-96.39923,12:00:00
c-0050-01,t-0050,SHARK,3,3,0,119.3,26.66031,-97.44004,11:45:00
c-0051-00,t-0051,RED_SNAPPER,3,1,2,95.6,28.28355,-97.01388,09:45:00
c-0051-01,t-0051,COBIA,9,6,3,44.8,27.54905,-96.71111,10:15:00
c-0051-02,t-0051,RED_SNAPPER,12,12,0,23.2,26.63399,-95.92518,15:45:00
c-0052-00,t-0052,COBIA,4,4,0,95.4,27.70324,-96.99547,05:15:00
c-0052-01,t-0052,SHARK,12,9,3,77.7,27.15896,-97.22147,15:30:00
c-0052-02,t-0052,COBIA,11,8,3,61.4,26.54488,-96.04748,09:00:00
c-0053-00,t-0053,TARPON,3,2,1,38.4,26.73309,-96.96735,13:45:00
c-0053-01,t-0053,TARPON,12,2,10,111.5,26.55423,-97.34931,13:45:00
c-0053-02,t-0053,COBIA,3,3,0,45.5,28.22591,-96.68543,10:00:00
c-0053-03,t-0053,SNOOK,2,2,0,102.9,28.12112,-96.10573,05:30:00
c-0053-04,t-0053,COBIA,1,0,1,100.5,26.86749,-96.59006,14:15:00
c-0053-05,t-0053,RED_SNAPPER,6,2,4,41.2,27.10261,-96.06105,08:00:00
c-0054-00,t-0054,SHARK,6,2,4,56.0,26.87552,-96.7327,12:45:00
c-0054-01,t-0054,COBIA,8,5,3,57.1,26.2268,-95.83736,11:00:00
c-0054-02,t-0054,SHARK,3,0,3,75.3,27.29381,-97.35745,14:45:00
c-0054-03,t-0054,FLOUNDER,4,3,1,103.3,26.67894,-97.40762,12:30:00
c-0055-00,t-0055,RED_SNAPPER,3,1,2,90.7,26.11158,-97.78723,05:15:00
c-0055-01,t-0055,SNOOK,10,10,0,113.4,27.16319,-97.0536,12:45:00
c-0055-02,t-0055,RED_SNAPPER,7,0,7,72.9,26.03618,-96.73558,09:30:00
c-0055-03,t-0055,COBIA,11,6,5,30.7,26.03943,-96.17369,06:15:00
c-0055-04,t-0055,SHARK,5,2,3,99.5,26.55423,-96.56044,06:30:00
c-0055-05,t-0055,SHARK,4,1,3,88.4,28.20638,-96.882,06:00:00
c-0055-06,t-0055,RED_SNAPPER,9,7,2,83.7,26.21505,-97.04147,16:15:00
c-0056-00,t-0056,SHARK,10,7,3,24.7,26.48626,-96.06377,06:30:00
c-0056-01,t-0056,SHARK,1,0,1,21.6,28.06842,-96.67298,08:15:00
c-0056-02,t-0056,SHARK,7,1,6,36.2,27.73019,-96.37458,08:45:00
c-0057-00,t-0057,FLOUNDER,6,4,2,115.5,27.0053,-96.12265,11:30:00
c-0057-01,t-0057,COBIA,8,7,1,55.6,26.06814,-97.25335,11:45:00
c-0058-00,t-0058,SHARK,2,0,2,64.5,26.89613,-97.0786,09:00:00
c-0058-01,t-0058,FLOUNDER,8,8,0,71.2,26.30477,-97.42522,06:00:00
c-0058-02,t-0058,SHARK,10,9,1,106.4,26.20612,-96.69156,05:30:00
c-0058-03,t-0058,COBIA,12,8,4,77.2,26.95176,-96.24166,07:45:00
c-0058-04,t-0058,COBIA,5,3,2,26.3,26.38985,-97.26216,11:30:00
c-0058-05,t-0058,SHARK,2,1,1,114.4,26.96854,-96.83154,16:45:00
c-0058-06,t-0058,SHARK,2,0,2,20.7,27.36575,-97.4089,11:30:00
c-0059-00,t-0059,SHARK,4,3,1,37.8,26.73753,-95.90544,11:30:00
c-0059-01,t-0059,SHARK,8,3,5,57.6,26.67033,-96.41008,11:30:00
c-0059-02,t-0059,COBIA,10,8,2,88.2,26.26194,-96.6723,13:00:00
c-0059-03,t-0059,TARPON,12,3,9,99.8,28.19191,-96.87676,16:00:00
c-0060-00,t-0060,FLOUNDER,8,7,1,60.1,26.97319,-97.04602,13:45:00
c-0060-01,t-0060,FLOUNDER,6,5,1,79.4,27.25038,-96.21856,06:00:00
c-0060-02,t-0060,SNOOK,6,1,5,81.3,27.76859,-96.4848,14:45:00
c-0060-03,t-0060,RED_SNAPPER,7,1,6,29.9,28.22367,-97.13681,08:15:00
c-0060-04,t-0060,SNOOK,11,9,2,70.0,27.02529,-97.01773,10:00:00
c-0060-05,t-0060,SNOOK,2,0,2,34.2,27.11037,-97.20914,09:30:00
c-0060-06,t-0060,TARPON,8,5,3,29.8,27.04727,-97.38627,16:45:00
c-0061-00,t-0061,TARPON,9,6,3,43.2,26.40124,-97.47973,11:15:00
c-0061-01,t-0061,SNOOK,7,0,7,81.4,26.42869,-96.48538,08:45:00
c-0061-02,t-0061,COBIA,12,3,9,47.8,27.36207,-97.02233,16:00:00
c-0061-03,t-0061,SHARK,9,2,7,52.6,27.3279,-96.201,12:00:00
c-0061-04,t-0061,FLOUNDER,9,5,4,58.9,26.60341,-96.07473,11:00:00
c-0061-05,t-0061,SNOOK,10,2,8,90.6,26.80023,-96.10896,09:00:00
c-0062-00,t-0062,FLOUNDER,10,2,8,58.4,26.32512,-97.02307,07:45:00
c-0062-01,t-0062,FLOUNDER,11,2,9,36.7,27.46165,-96.41313,09:15:00
c-0062-02,t-0062,SHARK,10,0,10,115.2,26.43033,-96.11603,12:15:00
c-0062-03,t-0062,SNOOK,9,8,1,69.5,26.4488,-97.03211,15:45:00
c-0062-04,t-0062,RED_SNAPPER,8,2,6,76.5,26.95595,-96.12022,08:30:00
c-0062-05,t-0062,TARPON,5,1,4,76.6,26.0752,-97.35031,12:00:00
c-0062-06,t-0062,FLOUNDER,9,5,4,102.3,27.31724,-97.26422,05:45:00
c-0063-00,t-0063,COBIA,8,1,7,41.0,26.80173,-96.16654,16:30:00
c-0063-01,t-0063,FLOUNDER,7,2,5,33.9,27.98041,-96.57948,08:15:00
c-0063-02,t-0063,FLOUNDER,9,4,5,73.9,27.85251,-96.65985,10:30:00
c-0063-03,t-0063,COBIA,9,1,8,116.3,26.66547,-97.26531,11:00:00
c-0064-00,t-0064,SNOOK,7,4,3,113.6,27.82758,-96.26223,10:45:00
c-0064-01,t-0064,SNOOK,1,0,1,117.2,28.18558,-97.14542,15:30:00
c-0064-02,t-0064,TARPON,7,3,4,102.5,27.95524,-96.20864,12:30:00
c-0064-03,t-0064,COBIA,9,9,0,76.6,26.74259,-97.23281,12:30:00
c-0064-04,t-0064,SNOOK,1,0,1,98.4,28.05656,-96.27549,12:00:00
c-0064-05,t-0064,RED_SNAPPER,8,7,1,119.2,26.28575,-96.0847,11:15:00
c-0064-06,t-0064,COBIA,11,4,7,107.4,28.2901,-95.98119,09:00:00
c-0065-00,t-0065,SNOOK,4,3,1,29.1,26.70267,-96.40112,06:00:00
c-0065-01,t-0065,FLOUNDER,10,3,7,88.0,26.49087,-97.64412,05:00:00
c-0065-02,t-0065,TARPON,7,2,5,27.1,27.59987,-96.16578,11:00:00
c-0065-03,t-0065,SHARK,6,2,4,33.7,27.68076,-97.59515,07:15:00
c-0065-04,t-0065,COBIA,10,10,0,64.0,26.15735,-96.67342,16:15:00
c-0065-05,t-0065,COBIA,7,7,0,28.7,27.44458,-97.49725,06:15:00
c-0065-06,t-0065,TARPON,7,5,2,51.5,27.73062,-96.62085,07:15:00
c-0066-00,t-0066,TARPON,4,3,1,31.3,26.90103,-96.50766,12:00:00
c-0066-01,t-0066,COBIA,6,2,4,58.7,27.21506,-95.84461,14:45:00
c-0066-02,t-0066,RED_SNAPPER,8,1,7,78.7,26.84045,-96.43412,05:30:00
c-0066-03,t-0066,SNOOK,7,4,3,91.3,26.49621,-95.95484,11:45:00
c-0066-04,t-0066,FLOUNDER,9,8,1,35.3,27.61416,-97.63514,06:30:00
c-0066-05,t-0066,TARPON,3,2,1,78.6,26.18175,-95.95815,15:00:00
c-0066-06,t-0066,COBIA,4,0,4,28.6,26.71339,-96.92503,11:00:00
c-0067-00,t-0067,COBIA,9,4,5,57.2,27.14175,-97.10659,16:30:00
c-0067-01,t-0067,TARPON,1,1,0,47.2,27.68575,-97.56389,06:30:00
c-0067-02,t-0067,TARPON,2,1,1,71.1,27.63834,-96.6467,05:45:00
c-0068-00,t-0068,RED_SNAPPER,1,0,1,67.2,27.70379,-97.79486,11:15:00
c-0068-01,t-0068,COBIA,1,1,0,52.2,26.41161,-95.87932,11:30:00
c-0068-02,t-0068,FLOUNDER,6,0,6,87.3,26.62389,-97.64423,05:15:00
c-0069-00,t-0069,FLOUNDER,4,2,2,98.5,27.27211,-97.78406,16:15:00
