tripId,anglerId,tripDate,launchSite,startTime,endTime
t-0133,a-006,2025-08-06,Packery,14:00:00,20:00:00
t-0134,a-006,2025-01-19,BobHall,16:30:00,23:30:00
t-0135,a-006,2025-08-26,BobHall,11:45:00,15:45:00
t-0136,a-002,2025-01-13,Marker24,14:00:00,16:00:00
t-0137,a-023,2025-06-15,Marker24,09:15:00,17:15:00
t-0138,a-014,2025-07-26,AransasPass,16:00:00,22:00:00
t-0139,a-019,2025-04-30,Marker24,06:00:00,13:00:00
t-0140,a-018,2025-03-26,Marker24,12:15:00,18:15:00
t-0141,a-002,2025-07-06,AransasPass,09:15:00,14:15:00
t-0142,a-008,2025-07-31,AransasPass,08:45:00,11:45:00
t-0143,a-009,2025-03-11,BobHall,06:45:00,11:45:00
t-0144,a-014,2025-09-29,BobHall,11:45:00,19:45:00
t-0145,a-023,2025-01-01,Packery,15:00:00,20:00:00
t-0146,a-002,2025-02-02,Marker24,10:30:00,15:30:00
t-0147,a-021,2025-06-17,Packery,12:45:00,17:45:00
t-0148,a-012,2025-03-17,Packery,10:45:00,16:45:00
t-0149,a-025,2025-10-21,Marker24,15:15:00,23:15:00
t-0150,a-028,2025-09-26,AransasPass,10:00:00,16:00:00
t-0151,a-012,2025-08-03,Marker24,15:30:00,17:30:00
t-0152,a-024,2025-03-02,BobHall,08:15:00,16:15:00
t-0153,a-006,2025-06-29,Packery,05:00:00,08:00:00
t-0154,a-025,2025-06-10,Packery,06:45:00,08:45:00
t-0155,a-025,2025-07-24,BobHall,10:45:00,17:45:00
t-0156,a-015,2025-01-19,AransasPass,05:15:00,11:15:00
t-0157,a-025,2025-06-24,Packery,11:00:00,16:00:00
t-0158,a-019,2025-09-21,Packery,11:30:00,13:30:00
t-0159,a-021,2025-06-04,AransasPass,13:30:00,18:30:00
t-0160,a-008,2025-06-08,BobHall,12:45:00,18:45:00
t-0161,a-019,2025-09-14,Marker24,06:30:00,11:30:00
t-0162,a-027,2025-01-28,Marker24,16:15:00,20:15:00
t-0163,a-028,2025-07-30,Packery,10:45:00,15:45:00
t-0164,a-027,2025-09-11,Packery,06:15:00,13:15:00
t-0165,a-003,2025-02-18,Packery,13:00:00,15:00:00
t-0166,a-015,2025-08-12,AransasPass,06:45:00,08:45:00
t-0167,a-020,2025-01-03,BobHall,10:00:00,17:00:00
t-0168,a-025,2025-07-26,Packery,09:15:00,11:15:00
t-0169,a-027,2025-07-21,AransasPass,05:00:00,10:00:00
t-0170,a-016,2025-08-05,AransasPass,05:00:00,08:00:00
t-0171,a-015,2025-08-12,AransasPass,05:15:00,09:15:00
t-0172,a-008,2025-04-18,BobHall,13:00:00,15:00:00
t-0173,a-026,2025-08-23,Marker24,06:00:00,14:00:00
t-0174,a-003,2025-05-17,AransasPass,10:45:00,14:45:00
t-0175,a-026,2025-09-24,Packery,09:45:00,14:45:00
t-0176,a-025,2025-03-23,Packery,05:00:00,13:00:00
t-0177,a-021,2025-08-05,BobHall,12:45:00,19:45:00
t-0178,a-029,2025-06-22,AransasPass,11:45:00,19:45:00
t-0179,a-001,2025-05-21,Packery,08:15:00,16:15:00
t-0180,a-016,2025-09-18,AransasPass,13:45:00,15:45:00
t-0181,a-020,2025-09-16,Packery,10:30:00,17:30:00
t-0182,a-022,2025-03-05,Marker24,10:45:00,18:45:00
t-0183,a-002,2025-05-24,AransasPass,12:15:00,14:15:00
t-0184,a-022,2025-09-30,Marker24,14:30:00,21:30:00
t-0185,a-021,2025-02-19,Packery,05:45:00,10:45:00
t-0186,a-004,2025-01-29,AransasPass,13:00:00,17:00:00
t-0187,a-006,2025-05-05,AransasPass,07:00:00,09:00:00
t-0188,a-023,2025-04-28,AransasPass,12:15:00,15:15:00
t-0189,a-006,2025-04-11,BobHall,05:15:00,13:15:00
t-0190,a-016,2025-09-23,AransasPass,12:15:00,16:15:00
t-0191,a-029,2025-02-12,Marker24,09:00:00,17:00:00
t-0192,a-026,2025-07-26,BobHall,11:00:00,16:00:00
t-0193,a-014,2025-07-26,BobHall,16:30:00,20:30:00
t-0194,a-002,2025-09-08,Packery,05:15:00,08:15:00
t-0195,a-006,2025-10-22,BobHall,09:15:00,15:15:00
t-0196,a-020,2025-03-31,AransasPass,11:15:00,14:15:00
t-0197,a-006,2025-05-31,Marker24,06:45:00,09:45:00
t-0198,a-011,2025-03-30,BobHall,05:45:00,12:45:00
t-0199,a-002,2025-03-12,AransasPass,10:45:00,14:45:00
t-0200,a-026,2025-04-24,Marker24,14:45:00,20:45:00
t-0201,a-010,2025-03-26,BobHall,16:15:00,19:15:00
t-0202,a-011,2025-03-11,Marker24,16:45:00,19:45:00
t-0203,a-030,2025-10-17,AransasPass,07:15:00,15:15:00
t-0204,a-001,2025-02-19,AransasPass,06:45:00,12:45:00
t-0205,a-019,2025-05-01,Marker24,12:45:00,19:45:00
t-0206,a-028,2025-07-25,BobHall,16:15:00,18:15:00
t-0207,a-005,2025-09-12,AransasPass,06:30:00,14:30:00
t-0208,a-003,2025-06-20,AransasPass,08:00:00,15:00:00
t-0209,a-017,2025-04-24,Packery,06:45:00,08:45:00
t-0210,a-027,2025-04-18,AransasPass,16:15:00,23:15:00
t-0211,a-007,2025-01-05,AransasPass,10:00:00,17:00:00
t-0212,a-010,2025-10-20,BobHall,07:00:00,11:00:00
t-0213,a-022,2025-10-01,Packery,12:15:00,18:15:00
t-0214,a-003,2025-07-05,Marker24,10:30:00,13:30:00
t-0215,a-020,2025-02-20,AransasPass,05:15:00,09:15:00
t-0216,a-019,2025-01-30,BobHall,06:30:00,12:30:00
t-0217,a-030,2025-09-21,Marker24,05:45:00,11:45:00
t-0218,a-022,2025-04-12,AransasPass,12:30:00,14:30:00
t-0219,a-013,2025-07-28,AransasPass,13:30:00,20:30:00
t-0220,a-029,2025-02-24,AransasPass,07:00:00,09:00:00
t-0221,a-021,2025-03-02,Marker24,11:00:00,16:00:00
t-0222,a-006,2025-10-20,Packery,08:00:00,16:00:00
t-0223,a-009,2025-03-10,Marker24,11:30:00,15:30:00
t-0224,a-006,2025-08-24,Marker24,07:15:00,10:15:00
t-0225,a-018,2025-06-23,AransasPass,16:00:00,19:00:00
t-0226,a-008,2025-02-22,Marker24,09:30:00,11:30:00
t-0227,a-022,2025-07-08,BobHall,09:00:00,17:00:00
t-0228,a-003,2025-10-25,BobHall,16:45:00,22:45:00
t-0229,a-005,2025-07-07,AransasPass,07:00:00,10:00:00
t-0230,a-018,2025-05-13,BobHall,14:30:00,21:30:00
t-0231,a-008,2025-05-25,Marker24,07:00:00,09:00:00
t-0232,a-026,2025-07-15,AransasPass,12:00:00,16:00:00
t-0233,a-015,2025-03-09,BobHall,10:30:00,14:30:00
t-0234,a-009,2025-08-31,AransasPass,09:45:00,16:45:00
t-0235,a-010,2025-07-12,AransasPass,07:45:00,15:45:00
t-0236,a-009,2025-05-10,Packery,15:15:00,17:15:00
t-0237,a-029,2025-08-23,Packery,07:45:00,15:45:00
t-0238,a-014,2025-05-26,Marker24,16:00:00,18:00:00
t-0239,a-011,2025-03-29,Marker24,14:45:00,17:45:00
t-0240,a-009,2025-02-12,Marker24,07:00:00,14:00:00
