tagReportId,tripId,tagCode,eventType,speciesCode,eventDateTime,eventLat,eventLon,condition
tr-r-0135,t-0135,TAG10135,recaptured,TARPON,2025-09-22T15:45:00,26.50466,-97.23341,good
tr-0138,t-0138,TAG10138,tagged,SNOOK,2025-07-26T16:00:00,28.00146,-96.72688,fair
tr-0141,t-0141,TAG10141,tagged,COBIA,2025-07-06T09:15:00,27.79164,-97.14774,excellent
tr-0144,t-0144,TAG10144,tagged,TARPON,2025-09-29T11:45:00,27.06665,-97.52275,fair
tr-r-0144,t-0144,TAG10144,recaptured,TARPON,2025-10-15T19:45:00,27.81668,-97.05916,poor
tr-0147,t-0147,TAG10147,tagged,COBIA,2025-06-17T12:45:00,27.29372,-97.73062,good
tr-0150,t-0150,TAG10150,tagged,SNOOK,2025-09-26T10:00:00,26.31164,-97.47338,good
tr-0153,t-0153,TAG10153,tagged,SNOOK,2025-06-29T05:00:00,28.20282,-97.4383,good
tr-r-0153,t-0153,TAG10153,recaptured,TARPON,2025-07-31T08:00:00,26.49283,-97.34489,excellent
tr-0156,t-0156,TAG10156,tagged,SHARK,2025-01-19T05:15:00,26.80242,-96.31589,excellent
tr-0159,t-0159,TAG10159,tagged,TARPON,2025-06-04T13:30:00,26.54851,-97.50008,excellent
tr-0162,t-0162,TAG10162,tagged,RED_SNAPPER,2025-01-28T16:15:00,26.92152,-96.54341,good
tr-r-0162,t-0162,TAG10162,recaptured,FLOUNDER,2025-02-07T20:15:00,26.2549,-97.30079,good
tr-0165,t-0165,TAG10165,tagged,COBIA,2025-02-18T13:00:00,26.08248,-97.27955,fair
tr-0168,t-0168,TAG10168,tagged,RED_SNAPPER,2025-07-26T09:15:00,27.70319,-96.87424,excellent
tr-0171,t-0171,TAG10171,tagged,COBIA,2025-08-12T05:15:00,26.39857,-97.48737,good
tr-r-0171,t-0171,TAG10171,recaptured,RED_SNAPPER,2025-10-06T09:15:00,26.95676,-95.81247,fair
tr-0174,t-0174,TAG10174,tagged,FLOUNDER,2025-05-17T10:45:00,26.13296,-96.53678,fair
tr-0177,t-0177,TAG10177,tagged,TARPON,2025-08-05T12:45:00,27.10671,-97.1806,good
tr-0180,t-0180,TAG10180,tagged,RED_SNAPPER,2025-09-18T13:45:00,26.9092,-97.55405,excellent
tr-r-0180,t-0180,TAG10180,recaptured,SNOOK,2025-10-28T15:45:00,28.29729,-96.04344,good
tr-0183,t-0183,TAG10183,tagged,COBIA,2025-05-24T12:15:00,27.94963,-97.75376,fair
tr-0186,t-0186,TAG10186,tagged,SHARK,2025-01-29T13:00:00,26.96832,-96.35075,good
tr-0189,t-0189,TAG10189,tagged,SNOOK,2025-04-11T05:15:00,26.18724,-96.85867,fair
tr-r-0189,t-0189,TAG10189,recaptured,FLOUNDER,2025-04-20T13:15:00,26.3851,-97.02377,fair
tr-0192,t-0192,TAG10192,tagged,SNOOK,2025-07-26T11:00:00,27.91889,-97.12036,good
tr-0195,t-0195,TAG10195,tagged,SNOOK,2025-10-22T09:15:00,27.93807,-96.21531,good
tr-0198,t-0198,TAG10198,tagged,RED_SNAPPER,2025-03-30T05:45:00,27.4176,-96.00644,good
tr-r-0198,t-0198,TAG10198,recaptured,COBIA,2025-05-21T12:45:00,26.98555,-97.31291,excellent
tr-0201,t-0201,TAG10201,tagged,SHARK,2025-03-26T16:15:00,26.86284,-96.58795,excellent
tr-0204,t-0204,TAG10204,tagged,TARPON,2025-02-19T06:45:00,26.28677,-97.67148,excellent
tr-0207,t-0207,TAG10207,tagged,SNOOK,2025-09-12T06:30:00,26.59255,-96.8474,fair
tr-r-0207,t-0207,TAG10207,recaptured,RED_SNAPPER,2025-10-29T14:30:00,26.31224,-96.73091,poor
tr-0210,t-0210,TAG10210,tagged,SHARK,2025-04-18T16:15:00,28.0636,-97.38047,fair
tr-0213,t-0213,TAG10213,tagged,SNOOK,2025-10-01T12:15:00,27.26125,-97.66808,fair
tr-0216,t-0216,TAG10216,tagged,SHARK,2025-01-30T06:30:00,27.11119,-97.2705,excellent
tr-r-0216,t-0216,TAG10216,recaptured,SNOOK,2025-03-16T12:30:00,27.30834,-97.36507,fair
tr-0219,t-0219,TAG10219,tagged,SNOOK,2025-07-28T13:30:00,26.63468,-96.63135,excellent
tr-0222,t-0222,TAG10222,tagged,SHARK,2025-10-20T08:00:00,26.19147,-96.38908,fair
tr-0225,t-0225,TAG10225,tagged,COBIA,2025-06-23T16:00:00,28.11989,-96.43117,fair
tr-r-0225,t-0225,TAG10225,recaptured,SNOOK,2025-08-19T19:00:00,28.07371,-96.81636,excellent
tr-0228,t-0228,TAG10228,tagged,TARPON,2025-10-25T16:45:00,27.92611,-96.05905,excellent
tr-0231,t-0231,TAG10231,tagged,FLOUNDER,2025-05-25T07:00:00,27.85724,-97.49963,fair
tr-0234,t-0234,TAG10234,tagged,FLOUNDER,2025-08-31T09:45:00,28.24809,-97.68588,excellent
tr-r-0234,t-0234,TAG10234,recaptured,SNOOK,2025-10-27T16:45:00,27.28984,-97.49088,excellent
tr-0237,t-0237,TAG10237,tagged,TARPON,2025-08-23T07:45:00,26.65556,-96.48079,fair
tr-0240,t-0240,TAG10240,tagged,COBIA,2025-02-12T07:00:00,27.58087,-97.04949,good
